,drift_score,is_drifted
sensor_287,0.04255170275063003,0
sensor_541,0.04092995621643852,0
sensor_176,0.040423273286770416,0
sensor_290,0.03990634097272419,0
sensor_18,0.039779566731523906,0
sensor_84,0.038417920295948704,0
sensor_589,0.038212838950163655,0
sensor_363,0.03782877290977897,0
sensor_408,0.03648543745602799,0
sensor_386,0.03645582392349741,0
sensor_520,0.035023987411817246,0
sensor_286,0.0337632556091109,0
sensor_570,0.03261888924996002,0
sensor_447,0.03206952524888963,0
sensor_101,0.0316481526096362,0
sensor_489,0.031269942446795,0
sensor_248,0.029452746320359942,0
sensor_424,0.029308604592941018,0
sensor_311,0.028393765622351526,0
sensor_497,0.027783137999428206,0
sensor_204,0.027170570117313178,0
sensor_107,0.02673300062901547,0
sensor_499,0.026612314122024826,0
sensor_561,0.026099887567160886,0
sensor_336,0.025607741867355024,0
sensor_335,0.02556338785206969,0
sensor_23,0.023210243772340152,0
sensor_320,0.02232635589164729,0
sensor_151,0.021464039937959936,0
sensor_578,0.02022905063988032,0
sensor_324,0.019337805778223985,0
sensor_148,0.018693546299194834,0
sensor_283,0.01826780207573225,0
sensor_188,0.015209030333959827,0
sensor_407,0.014840024965882985,0
sensor_389,0.014194616304265127,0
sensor_251,0.01261313202259524,0
sensor_249,0.012607822057392002,0
sensor_387,0.012485278453087216,0
sensor_432,0.011279571781548035,0
sensor_224,0.011144452092876511,0
sensor_98,0.010943038379654626,0
sensor_421,0.01093474968846209,0
sensor_523,0.010838121950406798,0
sensor_125,0.009827630672865432,0
sensor_359,0.009481861366933677,0
sensor_575,0.007822359048906989,0
sensor_34,0.007749739967714091,0
sensor_36,0.007746571422429927,0
sensor_55,0.007137686533631922,0
sensor_573,0.006693607413574396,0
sensor_310,0.0064974560939987215,0
sensor_146,0.005506134229168038,0
sensor_269,0.005385973337527579,0
sensor_362,0.005352702169627221,0
sensor_114,0.005078285049412035,0
sensor_482,0.004617979336474675,0
sensor_559,0.0036150468159415043,0
sensor_47,0.0016279196954539564,0
sensor_149,0.0,0
sensor_394,0.0,0
sensor_537,0.0,0
sensor_536,0.0,0
sensor_369,0.0,0
sensor_42,0.0,0
sensor_538,0.0,0
sensor_370,0.0,0
sensor_374,0.0,0
sensor_371,0.0,0
sensor_372,0.0,0
sensor_373,0.0,0
sensor_379,0.0,0
sensor_378,0.0,0
sensor_375,0.0,0
sensor_381,0.0,0
sensor_380,0.0,0
sensor_396,0.0,0
sensor_395,0.0,0
sensor_13,0.0,0
sensor_364,0.0,0
sensor_226,0.0,0
sensor_276,0.0,0
sensor_284,0.0,0
sensor_400,0.0,0
sensor_399,0.0,0
sensor_398,0.0,0
sensor_397,0.0,0
sensor_404,0.0,0
sensor_403,0.0,0
sensor_402,0.0,0
sensor_401,0.0,0
sensor_259,0.0,0
sensor_260,0.0,0
sensor_466,0.0,0
sensor_258,0.0,0
sensor_458,0.0,0
sensor_449,0.0,0
sensor_450,0.0,0
sensor_451,0.0,0
sensor_178,0.0,0
sensor_463,0.0,0
sensor_464,0.0,0
sensor_461,0.0,0
sensor_465,0.0,0
sensor_256,0.0,0
sensor_257,0.0,0
sensor_97,0.0,0
sensor_330,0.0,0
sensor_414,0.0,0
sensor_422,0.0,0
sensor_141,0.0,0
sensor_326,0.0,0
sensor_194,0.0,0
sensor_193,0.0,0
sensor_192,0.0,0
sensor_191,0.0,0
sensor_190,0.0,0
sensor_189,0.0,0
sensor_186,0.0,0
sensor_264,0.0,0
sensor_179,0.0,0
sensor_325,0.0,0
sensor_266,0.0,0
sensor_263,0.0,0
sensor_265,0.0,0
sensor_261,0.0,0
sensor_262,0.0,0
sensor_462,0.0,0
sensor_502,0.0,0
sensor_504,0.0,0
sensor_505,0.0,0
sensor_508,0.0,0
sensor_509,0.0,0
sensor_506,0.0,0
sensor_507,0.0,0
sensor_503,0.0,0
sensor_328,0.0,0
sensor_69,0.0,0
sensor_481,0.0,0
sensor_498,0.0,0
sensor_501,0.0,0
sensor_329,0.0,0
sensor_327,0.0,0
sensor_531,0.0,0
sensor_530,0.0,0
sensor_529,0.0,0
sensor_528,0.0,0
sensor_514,0.0,0
sensor_515,0.0,0
sensor_512,0.0,0
sensor_513,0.0,0
sensor_49,0.0,0
sensor_533,0.0,0
sensor_534,0.0,0
sensor_313,0.0,0
sensor_315,0.0,0
sensor_314,0.0,0
sensor_535,0.0,0
sensor_532,0.0,0
sensor_52,0.0,0
sensor_322,0.0,0
sensor_230,0.0,0
sensor_229,0.0,0
sensor_232,0.0,0
sensor_233,0.0,0
sensor_234,0.0,0
sensor_231,0.0,0
sensor_235,0.0,0
sensor_236,0.0,0
sensor_240,0.0,0
sensor_237,0.0,0
sensor_241,0.0,0
sensor_242,0.0,0
sensor_243,0.0,0
sensor_5,0.0,0
